x,y,th
0.0,-0.0,-0.0
0.0,-0.0,0.0
0.0,0.0,0.0
0.0,-0.0,0.0
0.0,-0.0,0.0
0.0,-0.0,-0.2
0.2,-0.0,-0.5
0.5,0.0,0.6
0.7,0.0,0.4
0.7,0.0,-13.7
0.7,0.0,-50.8
0.7,0.0,-90.9
0.8,0.2,-99.0
0.8,0.4,-97.8
0.7,0.7,-97.6
0.7,0.9,-97.1
0.7,1.1,-97.2
0.6,1.3,-96.6
0.6,1.6,-97.1
0.6,1.6,-98.3
0.5,1.6,-60.8
0.5,1.6,-34.6
0.5,1.6,-34.1
0.5,1.6,-33.8
0.6,1.6,-28.3
0.8,1.6,-29.8
1.0,1.7,-25.5
1.0,1.8,-17.4
1.1,1.8,-0.1
1.4,1.8,0.7
1.6,1.8,-3.8
1.8,1.8,-11.8
1.8,1.7,-16.7
1.9,1.7,-28.0
1.9,1.7,-32.8
2.1,1.8,-32.9
2.2,1.9,-19.8
2.4,2.0,-9.8
2.6,2.0,0.6
2.8,2.0,-5.9
2.8,2.0,-17.0
3.0,2.1,-9.4
3.2,2.1,-5.8
3.5,2.1,-6.8
3.7,2.1,-6.6
3.7,2.1,-27.1
3.7,2.1,-64.5
3.7,2.1,-96.6
3.7,2.1,-127.4
3.7,2.1,-163.2
3.7,2.1,150.8
3.6,2.1,170.1
3.4,2.1,175.1
3.1,2.1,175.0
2.9,2.1,167.3
2.9,2.1,156.0
2.7,2.0,161.5
2.5,1.9,165.8
2.3,1.8,165.3
2.3,1.8,165.3
2.3,1.8,165.3
2.3,1.8,165.2
2.3,1.8,99.0
2.1,1.8,-178.0
1.9,1.9,-178.1
1.8,2.0,12.9
1.7,2.0,153.2
1.7,2.0,131.6
1.6,1.9,128.7
1.5,1.7,143.7
1.5,1.6,162.6
1.4,1.6,-171.1
1.2,1.7,-119.2
1.0,1.6,171.2
0.9,1.6,148.0
0.9,1.6,133.9
0.8,1.5,125.2
0.8,1.4,107.0
0.7,1.3,106.8
0.6,1.1,103.4
0.6,1.1,88.4
0.6,0.9,89.3
0.6,0.6,89.6
0.6,0.3,90.9
0.6,0.1,84.4
0.5,0.1,56.9
0.5,-0.0,45.6
0.6,-0.1,11.9
0.6,-0.0,-2.6
0.8,-0.0,10.5
1.0,-0.1,18.9
1.2,-0.1,28.0
1.3,-0.2,39.5
1.4,-0.2,25.4
1.6,-0.3,7.2
1.7,-0.3,-6.9
1.8,-0.3,-7.5
1.8,-0.3,-17.5
1.8,-0.2,-10.5
1.8,-0.2,-14.5
1.8,-0.2,-23.8
1.9,-0.2,-22.6
2.0,-0.2,-14.1
2.0,-0.2,-14.2
2.0,-0.2,-14.1
2.0,-0.2,-14.1
2.0,-0.2,-14.2
2.0,-0.2,-14.1
2.0,-0.2,-14.2
2.2,-0.2,-13.1
2.4,-0.2,-13.5
2.6,-0.2,-17.4
2.8,-0.1,-17.2
3.0,-0.0,-19.2
3.1,-0.0,-5.4
3.3,0.0,0.4
3.6,-0.0,0.2
3.7,-0.1,0.2
3.8,-0.1,-7.2
3.8,-0.1,-13.3
4.0,-0.0,-22.1
4.1,0.1,-22.3
4.2,0.1,-38.0
4.2,0.1,-70.8
4.2,0.1,-103.2
4.2,0.2,-121.0
4.2,0.2,-145.0
4.3,0.1,-48.6
4.1,0.1,174.2
3.9,0.1,173.5
3.7,0.1,173.3
3.5,0.1,173.7
3.3,0.1,173.4
3.0,0.0,173.5
2.8,-0.0,163.3
2.6,-0.1,166.0
2.5,-0.1,14.1
2.5,-0.1,159.2
2.4,-0.1,158.9
2.2,-0.2,159.5
2.0,-0.2,167.5
1.8,-0.1,169.6
1.8,-0.1,167.1
1.8,-0.1,162.4
1.8,-0.1,153.3
1.8,-0.1,155.5
2.0,-0.1,151.4
2.0,-0.1,134.1
2.0,-0.2,148.6
1.8,-0.2,151.7
1.7,-0.2,129.3
1.7,-0.3,133.2
1.7,-0.3,145.8
1.6,-0.4,143.6
1.5,-0.5,142.1
1.4,-0.5,141.7
1.2,-0.6,132.7
1.1,-0.6,119.2
1.1,-0.6,88.4
1.1,-0.9,83.1
1.2,-1.1,82.7
1.2,-1.4,81.5
1.3,-1.6,81.8
1.3,-1.7,83.3
1.3,-1.9,83.7
1.3,-2.0,108.5
1.3,-2.0,88.7
1.3,-2.0,54.4
1.3,-2.1,32.8
1.4,-2.1,5.0
1.6,-2.1,10.5
1.7,-2.1,21.3
1.8,-2.2,28.7
2.0,-2.2,25.4
2.2,-2.2,24.0
2.4,-2.1,23.1
2.5,-2.0,16.9
2.5,-2.0,42.1
2.5,-2.0,50.5
2.5,-2.0,50.5
2.5,-2.0,62.2
2.6,-2.2,75.0
2.7,-2.4,74.7
2.7,-2.7,74.9
2.7,-2.9,75.1
2.8,-3.1,74.6
2.8,-3.3,74.3
2.8,-3.5,77.3
2.8,-3.6,62.9
2.9,-3.8,63.4
2.9,-3.8,76.6
2.9,-3.9,57.9
2.9,-3.9,24.1
2.9,-3.9,14.9
3.1,-4.0,3.5
3.2,-4.0,-10.2
3.4,-4.0,-5.5
3.4,-4.0,-25.0
3.4,-4.0,-57.2
3.4,-4.0,-77.8
3.4,-3.8,-78.6
3.5,-3.5,-78.9
3.5,-3.3,-79.8
3.5,-3.0,-79.1
3.6,-2.7,-79.2
3.7,-2.5,-77.8
3.7,-2.3,-64.3
3.8,-2.3,-39.2
3.8,-2.1,-26.6
3.9,-2.1,-2.3
4.1,-2.1,3.2
4.2,-2.1,23.9
4.2,-2.1,52.3
4.3,-2.3,55.4
4.4,-2.5,54.7
4.5,-2.7,42.5
4.7,-2.8,34.8
4.9,-2.9,33.5
5.1,-3.1,29.6
5.2,-3.1,12.0
5.4,-3.2,10.5
5.5,-3.2,10.6
5.6,-3.2,10.1
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.1
5.6,-3.2,10.1
5.6,-3.2,10.1
5.6,-3.2,10.1
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.1
5.6,-3.2,10.2
5.6,-3.2,10.1
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.2,10.2
5.6,-3.3,10.2
5.7,-3.3,9.2
6.0,-3.3,8.3
6.2,-3.4,-4.7
6.2,-3.4,-44.2
6.3,-3.3,-55.0
6.4,-3.2,-40.5
6.5,-3.2,-43.4
6.5,-3.1,-72.4
6.5,-2.9,-82.6
6.5,-2.9,-58.4
6.6,-2.8,-36.6
6.7,-2.8,-24.9
6.8,-2.8,-24.2
6.9,-2.7,-20.8
7.1,-2.7,-19.5
7.0,-2.7,-21.9
7.0,-2.7,-30.8
7.0,-2.6,-42.8
7.0,-2.6,-34.3
7.1,-2.6,-27.4
7.2,-2.6,-26.6
7.0,-2.6,-27.1
6.8,-2.7,-29.0
6.7,-2.7,-57.9
6.8,-2.7,-72.0
6.8,-2.5,-53.9
6.9,-2.5,-22.4
7.1,-2.4,-12.3
7.2,-2.5,11.0
7.3,-2.5,1.4
7.3,-2.5,-23.3
7.5,-2.4,-19.4
7.6,-2.4,-5.0
7.6,-2.4,16.1
7.8,-2.5,16.5
8.1,-2.5,17.1
8.2,-2.6,24.2
8.4,-2.6,31.8
8.4,-2.7,37.9
8.5,-2.8,27.4
8.6,-2.9,26.4
8.7,-2.9,55.6
8.7,-2.9,57.4
8.8,-2.9,63.1
8.8,-3.0,82.8
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.6
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.5
8.8,-3.2,83.4
8.8,-3.5,79.4
8.8,-3.6,40.4
8.8,-3.5,-7.6
8.8,-3.6,-32.2
8.9,-3.5,-16.9
8.9,-3.5,-36.7
8.9,-3.5,-81.7
8.9,-3.3,-92.7
8.9,-3.1,-112.3
8.9,-3.2,-111.9
8.9,-3.4,-112.3
9.0,-3.5,-127.5
9.0,-3.5,-152.5
9.0,-3.5,-152.4
8.9,-3.5,-152.5
8.8,-3.4,-139.0
8.7,-3.4,-101.4
8.7,-3.2,-83.8
8.7,-3.0,-92.7
8.7,-2.8,-92.7
8.7,-2.5,-91.6
8.7,-2.4,-68.5
8.8,-2.3,-57.0
8.8,-2.2,-45.8
8.8,-2.2,-44.0
8.8,-2.1,-37.8
8.8,-2.2,-21.2
8.8,-2.2,-14.3
9.0,-2.1,-14.7
9.3,-2.0,-13.5
9.6,-1.9,-12.2
9.7,-1.9,3.3
9.7,-1.9,-2.9
10.0,-1.9,-8.5
10.1,-1.9,8.6
10.1,-1.9,10.0
10.1,-1.9,10.0
10.1,-1.9,9.8
10.3,-2.0,9.3
10.5,-2.0,9.5
10.5,-2.0,12.2
10.6,-2.0,42.4
10.7,-2.2,57.8
10.8,-2.3,72.1
10.7,-2.5,69.1
10.8,-2.5,50.6
10.9,-2.7,51.7
10.9,-2.9,53.5
10.9,-2.9,23.5
11.0,-3.0,-6.2
11.1,-2.9,-33.8
11.1,-2.9,-82.6
11.1,-2.8,-114.6
11.0,-2.6,-114.5
11.0,-2.6,-120.9
11.0,-2.5,-140.6
10.9,-2.4,-138.9
10.8,-2.2,-144.7
10.7,-2.2,-151.2
10.7,-2.2,-151.2
10.7,-2.2,-151.2
10.6,-2.1,-144.3
10.4,-1.9,-143.5
10.4,-1.8,-158.0
10.3,-1.8,155.3
10.0,-1.8,172.6
9.8,-1.8,171.9
9.8,-1.8,171.8
9.8,-1.8,120.4
9.7,-1.8,-157.0
9.6,-1.8,-135.8
9.5,-1.8,-111.8
9.5,-1.7,-83.0
9.6,-1.7,-100.0
9.5,-1.5,-106.9
9.4,-1.3,-106.4
9.4,-1.0,-105.7
9.4,-1.1,-105.1
9.4,-1.0,-106.2
9.4,-1.0,-133.7
9.4,-1.0,-152.3
9.3,-0.9,-146.2
9.3,-0.9,-112.8
9.3,-0.7,-95.4
9.3,-0.5,-96.6
9.2,-0.2,-96.6
9.2,-0.2,-96.3
9.2,-0.2,-96.2
9.2,-0.2,-96.3
9.3,-0.2,-96.4
9.3,-0.1,-97.4
9.2,0.1,-105.0
9.3,0.1,-93.4
9.3,0.1,-54.4
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.2
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.2
9.3,0.1,-48.1
9.3,0.1,-48.1
9.3,0.1,-48.2
9.3,0.1,-48.2
9.3,0.1,-48.2
9.3,0.1,-48.1
9.3,0.1,-48.2
9.3,0.1,-48.2
9.3,0.1,-48.2
9.3,0.1,-48.2
9.3,0.1,-48.2
9.3,0.1,-48.2
9.3,0.1,-48.2
9.4,0.1,-48.9
9.6,0.2,-50.1
9.6,0.2,-50.0
9.6,0.2,-50.3
9.7,0.2,-50.5
9.7,0.2,-50.6
9.7,0.2,-51.6
9.9,0.2,-46.9
10.0,0.3,-34.6
10.2,0.4,-34.0
10.2,0.4,-16.5
10.3,0.4,-18.2
10.3,0.4,-18.2
10.3,0.4,-18.2
10.3,0.4,-18.2
10.3,0.4,-18.6
10.4,0.4,-28.3
10.5,0.4,-20.3
10.5,0.3,-14.0
10.4,0.4,-15.2
10.3,0.4,-35.1
10.5,0.4,-38.7
10.5,0.4,-33.2
10.4,0.4,-18.2
10.5,0.4,-44.2
10.7,0.4,-45.9
10.8,0.4,-17.2
10.8,0.4,22.9
11.0,0.3,27.2
11.0,0.2,-3.8
11.2,0.3,-16.4
11.2,0.3,5.8
11.4,0.3,6.1
11.5,0.3,5.9
11.5,0.3,5.3
11.5,0.3,-13.5
11.6,0.3,-27.0
11.8,0.4,-36.9
11.9,0.4,-57.4
11.9,0.5,-75.0
12.0,0.6,-85.9
12.0,0.7,-85.3
12.0,0.8,-68.2
12.0,0.9,-51.0
12.1,1.1,-60.8
12.1,1.2,-71.6
12.1,1.3,-88.8
12.1,1.5,-103.4
12.1,1.5,-108.0
12.0,1.6,-110.0
12.0,1.6,-110.1
12.0,1.7,-110.0
12.0,1.7,-119.3
12.0,1.6,-117.8
12.0,1.7,-118.2
12.0,1.7,-133.5
11.9,1.8,-137.8
11.9,1.9,-137.2
11.9,2.0,-137.2
11.9,2.0,-152.2
11.8,2.1,-166.7
11.7,2.2,-167.7
11.4,2.3,-168.3
11.1,2.4,-168.8
10.9,2.4,-163.1
10.8,2.4,-132.5
10.6,2.5,-127.8
10.5,2.7,-128.8
10.5,2.7,-129.0
10.5,2.7,-141.1
10.5,2.7,157.5
10.5,2.7,112.2
10.4,2.6,97.2
10.4,2.5,87.7
10.4,2.4,66.5
10.4,2.4,70.4
10.4,2.4,70.4
10.4,2.4,70.4
10.4,2.4,70.4
10.4,2.4,70.4
10.4,2.4,70.5
10.4,2.4,70.5
10.4,2.4,70.5
10.4,2.4,70.4
10.4,2.3,70.0
10.4,2.1,69.7
10.4,1.9,92.0
10.4,1.9,121.9
10.4,1.9,145.5
10.3,1.8,162.1
10.0,1.7,161.2
9.7,1.6,160.7
9.4,1.5,160.1
9.0,1.3,160.1
8.7,1.2,160.0
8.4,1.1,160.6
8.2,1.1,-0.2
8.1,1.1,-149.1
8.0,1.2,-157.1
7.9,1.3,-157.1
7.9,1.2,-112.3
7.8,1.2,176.8
7.6,1.1,158.8
7.6,1.2,-171.8
7.5,1.2,-161.7
7.4,1.3,-159.1
7.3,1.3,-174.0
7.1,1.3,-174.5
6.9,1.3,-123.9
6.8,1.3,164.1
6.6,1.2,152.6
6.5,1.1,164.1
6.4,1.1,-116.7
6.3,1.2,-100.0
6.2,1.2,167.4
6.1,1.2,159.3
6.1,1.2,124.3
6.1,1.1,107.7
6.0,1.0,99.4
6.0,0.9,84.1
6.0,0.8,80.7
6.1,0.5,80.6
6.1,0.3,79.3
6.1,0.1,60.6
6.1,-0.0,54.6
6.1,-0.1,35.2
6.2,-0.1,14.0
6.3,-0.1,8.4
6.3,-0.1,41.2
6.4,-0.2,61.2
6.5,-0.3,73.7
6.5,-0.4,91.4
6.5,-0.5,90.9
6.5,-0.8,90.7
6.5,-0.9,82.8
6.5,-0.9,61.1
6.6,-1.1,56.6
6.8,-1.3,56.1
6.8,-1.4,40.7
6.8,-1.4,5.7
6.9,-1.5,-13.1
7.0,-1.5,-32.1
7.1,-1.5,-37.9
7.2,-1.5,-60.3
7.2,-1.4,-76.6
7.1,-1.2,-63.8
7.2,-1.2,-54.1
7.2,-1.1,-33.7
7.4,-1.0,-21.7
7.6,-0.9,-26.0
7.8,-0.8,-43.0
7.9,-0.7,-56.4
8.1,-0.4,-58.8
8.2,-0.2,-50.9
8.2,-0.2,-25.3
8.2,-0.1,-15.6
8.5,-0.1,-16.3
8.7,-0.0,-15.9
8.9,-0.0,-30.5
9.0,0.0,-46.7
9.2,0.2,-47.3
9.3,0.2,-58.0
9.5,0.3,-61.2
9.6,0.3,-83.2
9.6,0.3,-121.0
9.4,0.5,-127.6
9.2,0.7,-124.3
9.2,0.8,-102.0
9.1,1.0,-87.1
9.2,1.0,-55.1
9.4,1.2,-53.2
9.5,1.3,-43.8
9.6,1.4,-22.8
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.6,1.4,-22.7
9.8,1.5,-22.9
10.1,1.6,-22.2
10.3,1.7,-28.9
10.4,1.8,-35.0
10.6,1.9,-44.7
10.6,2.0,-67.7
10.7,2.2,-72.9
10.7,2.3,-90.9
10.7,2.6,-90.5
10.7,2.7,-107.7
10.8,2.7,-143.6
10.8,2.7,0.2
10.8,2.7,155.5
10.8,2.7,150.3
10.8,2.7,150.7
10.8,2.7,150.6
10.8,2.7,150.6
10.8,2.7,150.6
10.8,2.7,150.6
